index,specification
301,hp intel core i3 11th gen windows 11 home 256 gb 8 14 10000000
302,asus intel core i3 11th gen windows 11 home 512 gb 8 14 10000000
303,asus intel core i5 11th gen windows 11 home 512 gb 8 14 12000000
304,asus intel core i3 11th gen windows 11 home 256 gb 8 9000000
305,hp windows 11 home 512 gb 8 14 8000000
306,asus windows 11 home 256 gb 8 14.1 6000000
307,asus windows 11 home 256 gb 8 14 6000000
308,asus intel core i3 10th gen windows 10 home 4 gb 15.6 7000000
309,lenovo windows 11 home 512 gb 16 15.6 14000000
310,acer intel core i3 11th gen windows 10 home 4 gb 15.6 7000000
311,lenovo windows 11 home 512 gb 16 15000000
312,hp intel core i7 11th gen windows 10 pro 512 gb 8 14 22000000
313,lenovo windows 11 home 1 tb 16 gb 13.3 15000000
314,lenovo intel core i5 11th gen windows 11 home 512 gb 16 13000000
315,lenovo intel core i3 10th gen windows 11 home 512 gb 8 6000000
316,lenovo intel core i7 11th gen windows 11 home 512 gb 16 14.22 16000000
317,lenovo intel core i3 11th gen windows 11 home 512 gb 8 14 7000000
318,hp intel core i7 11th gen windows 11 home 1 tb 16 gb 25000000
319,asus intel core i3 11th gen windows 11 home 512 gb 8 15.6 7000000
320,lenovo intel core i3 11th gen windows 11 home 256 gb 8 15 7000000
321,dell intel core i5 11th gen windows 11 home 256 gb 8 15.6 11000000
322,lg intel core i5 11th gen windows 11 home 256 gb 8 14 14000000
323,lg intel core i5 11th gen windows 11 home 256 gb 8 14 14000000
324,lenovo intel core i3 11th gen windows 11 home 256 gb 8 7000000
325,lg intel core i5 11th gen windows 11 home 512 gb 8 16 16000000
326,acer windows 11 home 512 gb 8 15.6 8000000
327,asus windows 10 home 512 gb 16 15.6 18000000
328,acer intel core i3 11th gen windows 11 home 256 gb 4 15.6 6000000
329,asus windows 10 home 1 tb 16 gb 15.6 25000000
330,asus windows 10 home 4 gb 15.6 5000000
331,acer intel core i5 11th gen windows 11 home 512 gb 8 15.6 11000000
332,asus intel core i3 11th gen windows 11 home 512 gb 8 14.1 7000000
333,asus intel core i5 11th gen windows 11 home 512 gb 16 17.3 11000000
334,asus amd ryzen 9 octa core 11th gen windows 10 home 1 tb 16 gb 14 25000000
335,hp intel core i3 11th gen windows 10 8 gb 15.6 8000000
336,asus intel core i5 11th gen windows 10 home 256 gb 8 14 8000000
337,dell windows 11 home 512 gb 8 8000000
338,dell intel core i3 11th gen windows 11 home 512 gb 8 8000000
339,dell intel core i3 11th gen windows 11 home 256 gb 8 9000000
340,dell intel core i5 11th gen windows 11 home 256 gb 8 14 11000000
341,dell windows 11 home 512 gb 8 14 13000000
342,dell intel core i3 10th gen windows 11 home 512 gb 8 14 7000000
343,dell intel core i3 10th gen windows 11 home 8 gb 15.6 7000000
344,dell windows 11 home 512 gb 8 14 11000000
345,dell intel core i3 11th gen windows 11 home 8 gb 14.96 6000000
346,dell windows 11 home 512 gb 8 7000000
347,dell intel core i5 11th gen windows 11 home 256 gb 8 12000000
348,dell windows 11 home 8 gb 7000000
349,dell intel core i5 11th gen windows 11 home 512 gb 8 15.6 12000000
350,dell windows 11 home 256 gb 8 6000000
351,dell intel core i3 11th gen windows 11 home 256 gb 8 8000000
352,dell intel core i5 11th gen windows 11 home 512 gb 8 14000000
353,dell intel core i5 11th gen windows 11 home 512 gb 16 15.6 14000000
354,hp windows 10 home 8 gb 15.6 7000000
355,lenovo windows 11 home 512 gb 8 15.6 9000000
356,asus intel core i3 10th gen windows 10 home 8 gb 14.1 5000000
357,lenovo intel core i3 10th gen windows 11 home 256 gb 4 7000000
358,msi intel core i5 11th gen windows 10 home 512 gb 8 14 10000000
359,hp intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
360,hp intel core i3 11th gen windows 11 home 512 gb 8 14 10000000
361,hp intel core i5 11th gen windows 11 home 512 gb 8 15.6 10000000
362,lenovo intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
363,hp intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
364,hp intel core i5 11th gen windows 10 home 512 gb 16 13.5 21000000
365,lenovo windows 11 home 512 gb 8 15.6 9000000
366,lenovo intel core i3 11th gen windows 11 home 256 gb 8 14 7000000
